slug,id,grantee,grant_category,entity_type,organization,project_name,focus_area,grant_amount,project_cost,description_short,description_long,start_date,end_date,goals,economic_impact,social_impact
",9/15/17,,"Success will be demonstrated with a year round display of flowers and art.  Garden sustainability will be achieved with soil amendments, seasonal plantings and timely irrigation. Students, their parents, Sac High administrators, teachers and neighbors will be invited to participate in bi-annual social gathering to meet and connect with one another.  We anticipate over 50 people attending each event. Garden and related art will experience minimum vandalism due to increased awareness, community pride and participation. Ideally the V-Street Garden will be used as a model for other Sacramento area neighborhoods and schools seeking neighborhood cohesion, increased desirability and pride. ","The V-Garden will enhance community attractiveness, connectivity and contribute to the desirability of living in and investing in the area. Adding art will support and validate local artists. Research shows when students feel a connection and pride in their school, they do better academically and are more likely to contribute to the community. This is can result in higher academic achievement, college and trade school admissions and greater neighborhood stability. Residents who are more attached to their community create higher levels of social cohesion and social control, express less fear of crime, and contribute to the vitality of the neighborhood. ","V-Street Garden is within a disadvantaged area. 70% of Sac High students qualify for free or reduced cost lunch. The stress of poverty can cause physiological responses, which are expressed as increased risk of various diseases, including heart disease, diabetes, etc. Scientific literature indicates urban green spaces such as the V-street Garden have profound, positive impacts for individuals and communities. In studies of lower income households, the greenness of a young persons environment positively impacts cognitive functioning, ability to concentrate, and self-discipline. Such positive  perceptions will likely extend to residents and visitors to the neighborhood as well. "

10th-street-commercial-roosevelt-park-mural,220,Karen Ulep,Microgrant ($5k),Public Agency,CADA (Capitol Area Development Authority),10th Street Commercial/Roosevelt Park Mural ,"Public Art/Installations, Multipurpose Spaces, Underserved Communities","$5,000.00 ","$18,000.00 ",Art legend Gregory Kondos art directs muralists Jose Di Gregorio & Stephen V. Williams to create a massive mural across from Roosevelt Park.,"The 10th Street Commercial buildings are located in the center of Sacramentos 95814 Zip Code Area Promise Zone, which means it has been designated as a vulnerable high poverty community.  CADA could simply paint its commercial properties to bring them up-to-date, but we wanted to do more.  We wanted to create something extraordinary that would inspire the surrounding residents and enliven the commercial businesses.

The 10th Street Commercial Mural project will be a collaboration of local artists Jose Di Gregorio, Stephen V. Williams as art directed by 94-year-old Sacramento art legend Gregory Kondos and Karen Ulep, CADA Communications Manager.  This winning collaboration will produce an exciting and unique work of art that appeals to the urban and lively culture of Downtown Sacramento and enlivens the commercial businesses adjacent to Roosevelt Park.

The mural along the exterior of the 10th Street commercial buildings will be one unifying art piece.  Co-created by popular Sacramento muralists Jose Di Gregario and Stephen V. Williams, this is the first public project they have collaborated on together.  This approach will connect the storefronts Yummy Choice, OB2000, Bagel Time, Goodyear Cobbler & Cleaners as well as the entrance to Somerset Parkside Condominiums resulting in a cohesive mural that is approximately 4,000 square feet in size.  We believe this project will transform the neighborhood and serve as a catalyst for private development improvements and increased patronage to the 10th Street businesses.  We hope surrounding residents will view the mural as an extension of their living room and become a place for social gathering. If awarded this grant, CADA will be able to direct more funding toward Roosevelt Park improvements, which will directly impact the local residents and business owners.

CADA had the idea to have one of the world's most prominent California landscape artists, 94-year-old Gregory Kondos, assist in the art direction for the 10th Street Commercial mural in order to create media buzz, to help Sacramento's immediately embrace the final mural as it ties into Sacramentos rich artistic history and its vibrant emerging art scene, and to add to the legacy portfolio of Gregory Kondos in the neighborhood that he so generously supports and lives in.",9/15/17,10/1/17,"The beautiful collaborative original painting will help create a vibrant & inspiring common space that the entire community can enjoy.  It will also be evident as CADA will be able to measure the increased sales & traffic of its commercial tenants.  Media coverage & comments on social media sites like Nextdoor will also indicate success.  CADAs recent collaboration with the City of Sacramento, Truitt Bark Park, utilized Stephen V. Williams for the BARK art sculpture mural and McKinley Park had Jose Di Gregorio paint its playground; both projects have received wide favorable media attention and comments on social media.
","Obviously, increased patronage of the local and surrounding merchants.  However, the social impact will also be significant as it coincides with CADAs continued renovation of Roosevelt Park.  CADA's efforts should discourage vandalism & other criminal activity as there will be more activity and eyes on the park and commercial businesses.  This in turn, should invite increased private development interest in the area and well as encourage current residents and other area businesses to invest in their properties and take a more active role in their community.","This project is located in an underserved community and is located directly across from a park.  As such, CADA believes this mural will inspire the entire community and invite social gathering and collaboration.  The current draft design speaks to all cultures."

food-factory,226,Andrea Lepore,Grant ($25k),"Business, Other",Food Factory,Food Factory,Farm-to-Fork,"$25,000.00 ","$5,000,000.00 ","Produce 3 community workshops & architectural drawing for the Food Factory, a collaborative space for emerging food entrepreneurs & farmers.","After more than 2 years of research and development, Sacramento entrepreneurs and business partners Andrea Lepore and Skip Rosenbloom, are requesting funds for the development of architectural drawings that illustrate the transformation of a 33,000 square foot warehouse located  in Alkali Flats into a collaborative space for local food makers.  The grant will also pay for the production of 3 workshops to engage the local community and the area's artists, students, farmers, food-makers and scientists, in envisioning a dynamic development.

Inspired by Andy Warhols iconic New York art studio, The Factory, where creative people gathered to make art, The Food Factory will be a hub where culinary artists, food makers and emerging food entrepreneurs can come together to create a food district in the center of one of the USA's most vibrant agricultural regions - Yolo and Sacramento counties.  The project is being developed in partnership with the Sacramento Regional Community Foundation, the University of California, Davis, Food and Agriculture Department, and Valley Vision.  It will be a place for the production of healthy food and the creation and growth of viable food businesses in a clean, efficient, and sustainable environment built for both start- ups and developing local entrepreneurs. In addition to immense research, production and storage space, the Food Factory will include indoor/outdoor event spaces, a retail shop, and a place for public gatherings including pop-up dinners, festivals, films, markets, exhibitions, and a library.

The Food Factory has very few characteristics of a typical factory, rather imagine instead a lively, neighborhood anchor, where local food-makers like David Bui, a stay-at-home dad who makes rustic sourdough bread from his kitchen and Janet McDonald, who makes tomato jam and Meyer lemon marmalade, gather each day to share resources, and have access to a crew to label, pack, and distribute their products. A new kitchen will be designed to test small batches of everything from pickles to pasta. Families will stop to taste new foods or enjoy a coffee on their way to the bike trail. This will all be made possible by designers who will integrate professional uses with inviting, relaxing spaces for the public, and landscaping and art to create a welcoming outdoor area that engages the neighborhood and encourages smart growth.

A strong conceptual design illustrating the above is critical at this point in the development of the project to help the partners secure funding to redevelop the building.

",10/1/17,5/1/18,The project's success will be determined by the successful completion of  architectural drawings for the Food Factory which ultimately results in securing $5 million dollars in funding to redevelop the space.  ,"Once completed, the Food Factory will be a place for creative food makers and entrepreneurs to launch businesses and workforce training with a local, regional, and possibly national reach. The Food Factory will enhance the City's reputation as a leading player in the agricultural and small food landscape, attracting new business and establishing a solid economic base. Graduates from local food programs will move their businesses to Sacramento, helping to avoid the talent drain and keeping artists and artisans local. It will support activities, including food and cultural festivals, performances, demonstrations, shopping, and classes, bringing people to an underutilized neighborhood.
","Yes, it will change an entire neighborhood while serving youth, women and minorities.  Located in the oldest neighborhood in Sacramento, a few blocks  the American River and American River Parkway on the north edge of town, the Factory will transform an economically and culturally diverse neighborhood. It will tie the underutilized riverfront and adjacent parkway to the neighborhood that is both safe and inviting. It will be a neighborhood point of pride, a beautiful space for visitors of all ages. It will encourage new amenities, creating a stronger sense of connection between Alkali Flats, downtown, midtown, and the rail yards.
"

brown-bag-bard-monday-night-shakespeare,254,Lori A DeLappe,Microgrant ($5k),Nonprofit,Wildflower Women's Ensemble,Brown Bag Bard & Monday Night Shakespeare,"Performing Arts/Music, Temporary Activations","$5,000.00 ","$5,000.00 ",All-female theatre company present free 80-minute productions of Shakespeare's plays in city parks in original practices format.,"Project overview:
In an effort to continue to reach out to our community and share the vital part theatre and Shakespeare have in a thriving culture, Wildflower will expand our current single-park offering of free Shakespeare to two additional parks in City Center at different times of the week/day to encourage more people to engage with Shakespeare. The lengths of these performances will be shorter than our regular run to make it more intriguing to those unfamiliar with Shakespeare.
Project details:
From our current season of 2 productions a year with four 80-minute performances each in Fremont Park and a Gala fundraiser in the winter we are looking to add 2  4 more performances in the additional parks.
Brown Bag Bard - Lunch time presentations at Cesar Chavez park of 30-45 minute plays during the summer months. Free admission.
Monday Night Shakespeare - Monday Night presentations in Southside Park twice during the summer.  Free admission.
Needs:
Additional musical instruments to build up our collection for use in all plays.
Staffing  Grant administrator, Stage Manager,  Graphic Designers, Actors.
Marketing  posters, postcards, incentives and website upkeep to promote each presentation. ",12/15/17,12/14/18,"Our project will be successful when people view our work in higher numbers than we currently see. We count all audience members who view the production by joining us for at least 10 minutes of the performance. We will also keep in contact with audience through an email list and solicit feedback through an online survey. A short question and answer period will follow 25% of the performances, giving the audience a further chance to engage. ","Local Businesses: Each of our chosen parks  Fremont, Southside and Cesar Chavez  are surrounded by businesses. Our hope is that our audience will patronize the businesses in the immediate region with our encouragement. We will honor our business neighbors by refraining from selling food or drink at our performances. Incentives: i.e., Brown Bag Bard, we want to reward our audience for frequenting the businesses nearby with a branded seat cushion they can use to watch the play. We plan a ""show us your receipt from one of these businesses, we'll give you a cushion"" promotion.","Shakespeares universal themes are still relevant to issues and relationships today. Young and old will find material to whichthey can relate. A major objective for Wildflower Womens Ensemble is to bring Shakespeare productions to underservedcommunities, from prisons to libraries to schools. The company has an educational arm and will reach out to young peopleby offering theatrical training as well as immersion in the works of Shakespeare. We are strong believers in both cultural andgender equity and believe that our work will encourage women to take on opportunities that they may have thoughtbeyond their reach."

valley-hi-second-line-parade,263,Benwar Shepard,Microgrant ($5k),Nonprofit,Bigger Than Us Arts ,Valley Hi Second Line Parade ,"Performing Arts/Music, Youth/Education, Cultural Equity, Underserved Communities, Multipurpose Spaces, Temporary Activations, Pop-ups","$5,000.00 ","$4,860.00 ",Musicians of all ages and abilities will join for New Orleans Style Brass Band Clinic and Parade through the Valley Hi Community.  ,"Local school and community musicians will be provided with the a free clinic from local professional musicians of: The Element Brass Band and City of Trees Brass Band.  Following the Clinic the collective ensemble will provide a free community performance through New Orleans Style Parade.
Musicians would register prior to the event and would be given access to music and media materials. The Day would start with a Clinic held at Valley High School. Food would be provided after clinic. The ensemble would leave Valley High school and split into 2 groups: First group will to parade to mack road partnerships Kings Court and perform : Second Group will parade to Mack Road and Valley Hi/ La Mancha Intersection. Both groups parade towards and meet at Mack and Franklin Intersection for a combined performance in empty parking lot. Food will be provided. During stand still performances flash visuals art and dance performances will take place.
Students and Community musicians that attend Valley Hi Secondline Brass Band Clinic and Parade will be eligible for Future secondline parades put on by Sacramento Youth Band, Sacramento Traditional Jazz Society and Bigger Than Us Arts.
 The content and educational content of the clinics will be supported by the combined resources of Bigger Than Us Arts, Sacramento Youth Band, Sacramento Traditional Jazz Society, Element Brass Band, City of Trees Brass Band, Mack Road Partnership. ",10/1/17,,"The projects success be measured in the numbers of musicians and performers and non-performers present at the event , impact on local business, impact on the local and nieghborhoods music community.",Professional and student  performance will attract family and community to businesses in the performance radius.  Funds are used to support local teaching artist by providing funds for performance and education sessions.  This will provide an example of to the youth and community of the arts education pathway that runs from young student musician to local professional musician.   ,"This project target the low income zip code of 95823 specifically the Valley Hi Community.  The Valley Hi Secondline would make arts performances easily accessible to a neighborhood that does not normally have music on the streets.  Local businesses would have the opportunity to invest in positively engaging the youth with arts performance opporunities.  This event would also provide opportunity for families, neighborhoods and communities to perform and activate their community together through arts."

brazilian-center-outdoor-performance-space,277,Saara Burga,Microgrant ($5k),Nonprofit,Brazilian Center for Cultural Exchange,Brazilian Center - outdoor performance space,"Public Art/Installations, Performing Arts/Music, Multipurpose Spaces, Cultural Equity","$5,000.00 ","$20,000.00 ","@brazilcenter916 makes outdoor performance space to expand existing programs & community engagement w/visual, performing, culinary artists.","The Brazilian Center for Cultural Exchange is a community arts organization located at CLARA with the dual goals of sharing Brazilian Culture with Sacramentos community, and also in learning about the other cultures that are represented in Sacramento. To that end, the Center hosts regular Brazilian cultural classes  including Afro-Brazilian drumming, dancing, and cooking lessons -- as well as spoken-word performances and open-mic nights in partnership with groups like Womens Wisdom and artist showcases featuring Sacramento artists with South American roots.
The Brazilian Center is also the home of Mistura Brasiliera Samba Dance Company and the drumline Unidos da Capital, two of Sacramentos highly regarded music and performance groups.
Performances at the Brazilian Center have been intimate in scale; community outreach takes place at community cultural festivals like Fiesta en la Calle or at the Mayors recent creative arts summit. However, the Center now seeks to bring their outreach home, and to provide their partner artists with a broader platform by converting the unused loading zone next to their office into a performance area. The center has already begun beautifying the area with a series of painted panels occupying pride of place. We are asking the City of Sacramento to provide financial support for the next phase of beautification  construction of a multi-colored floor mural, and a partnership with local artists to design a large fiber-art shade to cover the area on hot days. The space will also include a performance stage, with light and sound support to come in the next phase of beautification.
Ultimately, the vision is for this to become a regular gathering place for the Latino community within Sacramento, as well as for local neighbors, featuring weekly concerts during the summer, year-round artist showcases each month, and establishment of a regular open mic night for poetry and spoken word performances.",11/15/17,,"The two main goals of this project are to provide an outdoor performance venue for performing artists in the City of Sacramento, and to welcome more arts-consumers to the Brazilian Center . If this project allows the Brazilian Center to host more public performances, which result in more people participating with the Centers mission of cultural exchange, it will be a success. ","Creating a performance space for the Brazilian Center allows them to invite more people to participate in the cultural exchange which serves as their mission. More importantly, by bringing artists and audiences together in a public performance venue, the Center will provide their artists with a platform for greater exposure  and opportunities to seek more work. The Center is committed to paying its artists on a commission basis. If the Center is successful, the artists they support will also enjoy greater economic success and stability.  ","Aside from a plethora of Mexican restaurants and Casa de Espa??ol, the Brazilian Center is one of the few South American cultural institutions represented in Midtown. While it is important to fund and support cultural programs in their home communities, it is also important to invite non-dominant cultural programs to have a presence in the culture nexus that is Midtown. Supporting this public art project will more broadly acknowledge the diversity of Sacramentos population, provide the Brazilian Center with a stronger visual presence in Midtown, allow the organization to further amplify its mission of cultural exchange. "

the-mahogany-festival,287,Shonda Hutton,Microgrant ($5k),"Individual/Sole Proprietor, Other (Collective)",The Mahogany Urban Poetry Series,The Mahogany Festival,Performing Arts/Music,"$5,000.00 ","$5,225.00 ","Bring the entire family with your blanket and lawn chairs to The Mahogany Festival! Enjoy live music, poetry, workshops, food, and vendors. ","The Mahogany Urban Poetry Series, Malikspeaks, and Fortune School will partner to bring the community The Mahogany Festival. The Mahogany Festival is a one-day event filled with expressive art, education, and celebration of African American culture. The one-day event will draw 1,500 people reflecting the diversity of Oak Park and neighboring communities. There will be featured artists, poets, musicians, entrepreneurs, educators and vendors who will share their perspective on African American culture.

Festivalgoers will learn about the following: Fortune School's network of tuition-free high performing public charter schools focused on closing the achievement gap of African American students; how to maintain a healthy mind, body, and spirit; the power of financial fortitude through the lens of a growing African American economy; and, the value and necessity of urban farming. This free family fun-day is centered on displaying positive images of Sacramento's African American community. Though the festival's target population is African American, it is the intention that all community members feel welcomed, as they become students of the African American perspective.

African American culture is a major part of Sacramento's identity. The Mahogany Festival will teach people about the struggles and triumphs of African Americans, while celebrating the progress that has been made and acknowledging next steps for things to come. Festivalgoers can enjoy great live music from local bands and choirs as well as dance performances and poetry. The festival also hosts a great lineup of local artists exhibiting their handcrafted art, health and wellness supplies, clothing, and cuisine. For children, there are a variety of fun interactive activities ranging from arts & crafts and face painting to jump houses and outdoor games.

The Mahogany Festival will bring attention and build awareness to the diversity of Oak Park by highlighting the local businesses, artists and services. The festival serves as a hub for neighbors to meet in a fun way that helps to build community and a sense of cohesiveness. ",6/9/18,6/9/18,"The success of The Mahogany Festival will be measured by the number of attendees, event-day workshop evaluations, event-day vendor surveys and post vendor survey to assess the sustainability of new business relations.  ","The Mahogany Festival's economic impact will occur in two ways, direct and indirect. The direct impact will be evident on the day of the event as vendors report profits on the event-day vendor survey. Vendors will have an opportunity to build clientele through data collection i.e. email addresses, telephone numbers, and addresses. The indirect impact will be evaluated over-time through the post vendor survey to determine the businesses ability to repeat customer purchases for goods and services. The festival will also increase the awareness and visibility of businesses in the area, which in turn will increase traffic to those businesses. ","The Mahogany Festival is an African American-focused free family-friendly event celebrating the life, music and culture of the African American community in Sacramento. The festival will showcase emerging talent, small businesses, and local artists. The festival is held in Oak Park, but is intended for African American's city-wide to attend.  "

sacramento-songwriter-showcase,312,John Lizarraga,Microgrant ($5k),Individual/Sole Proprietor,,Sacramento Songwriter Showcase,"Performing Arts/Music, Temporary Activations, Cultural Equity, Underserved Communities","$5,000.00 ","$4,500.00 ",Bilingual showcase where local songwriters will perform original Latin music to the general public in South Sacramento venues.,"Showcase for local songwriters to perform original music presentations. Consisting of three live musical performances offered to the general public at no cost. Yesenia Fuentes and Ritmoz Latinoz (consisting of 3 members) will host and produce the showcases featuring three Latino songwriters.

Showcases to be presented at tentative South Sacramento venues:
a) Sierra 2
b) La Famila
c) Florez Restaurant

Each showcase presentation will be 90 minutes in length featuring the hosting band and solo performers, each presenting a 40 minute set of original Latin compositions.
Proposed featured Latino songwriters:
a) Alessa - Pop
b) Xochilt - Alternative
c) Celia Hernandez-Lopez - Traditional

Showcase performance dates to be determined.",9/17/17,9/17/18,"We will know we have met our goal if we have representation from the Sacramento general public supporting our local songwriters in venues that are not otherwise frequented on a regular basis.  Our goal is to provide a showcase that demonstrates music, creativity, culture and social ideas while improving our life and local community.



","Not only will we be economically supporting local songwriters, musicians and Dj's, we will also be supporting local businesses that are not frequently utilized for culturally sensitive public events.  The Sacramento general public will provide patronage to these local businesses, opening the door of opportunities for future public social and cultural events.

","The project's potential social impact is to showcase local talent that serves a particular niche, Latino music.  By focusing on promoting these three showcases to the greater Sacramento public, all will have an opportunity to see the potential South Sacramento has in not only supporting local artists, but also merging the artists with local businesses.  Those unfamiliar with Latin music will have the opportunity to learn of the diversity that exists within this genre.  "

g-r-o-u-n-d,327,Michael E Vester,Microgrant ($5k),"Nonprofit, Other (Can collaborate with any performing arts, tech or education group )",Capital Dance Project,G.R.O.U.N.D,"Public Art/Installations, Performing Arts/Music, Urban Tech, Pop-ups, Underserved Communities, Youth/Education, Multipurpose Spaces","$5,000.00 ","$5,000.00 ",Using interlocking flooring and pressure sensors G.R.O.U.N.D collects data created by the interaction of performers and audience members. ,"G.R.O.U.N.D

Grid Reactive Open Use Network Device is a portable multi-media interactive space. Using interlocking flooring and pressure sensors G.R.O.U.N.D collects data created by the interaction of dancers, performers and audience members which in turn effects a 3D world where online users can see and interact with these changes. In response, the actions of the online community will be represented visually and audibly to the live audience.

What is G.R.O.U.N.D?

G.R.O.U.N.D is broken down into two parts the physical installation and the virtual representation.

The Physical.
The physical installation consists of a modular floor panel made of a foam base with a interchangeable acrylic top. Embedded in the foam portions will be pressure sensors, a low voltage power supply, micro controller unit, and LEDs. Ideally each panel can have its own wireless connection with additional wired solution for power and communication, this will provide redundancy and a simple method to reprogram the panels if desired. The sensors will provide the input to the micro controller changing the color of the embedded LEDs. The audience and performers can move around the floor changing the color of the panels. Additionally each panel can be used as a portable Wifi hub.

The Virtual.
The collected data is then interpreted into a 3D virtual environment, each panel will represent a parcel of virtual land. Actions on each panel cause a change to the corresponding parcel of virtual land. Online viewers using a personal computer or a mobile device can watch as forests turn to grasslands or deserts to oceans, all depending on the actions of the live performers. Online users can also interact with the virtual world having a direct effect on the panels. By doing simple tasks online, users can interact with the flooring to change the color of the panel thus participating  with the performers and the audience.

Goal of the project.
To provide a meaningful interactive experience for the audience to relate to and explore. By creating this unique space I hope to inspire thought and conversation about the link between our intentional actions and the often unknown consequences of those actions. Provide a novel approach to social wifi hot spots giving temporary internet access in locations where G.R.O.U.N.D is set up. To give the community a method to expand performing arts opportunities to under used and often forgotten spaces, such as concrete amphitheaters and parks found throughout our region. ",9/15/17,,"Success of the project would be if various arts and education groups used G.R.O.U.N.D. as a fun and innovative approach to combine performance art with technology as well as to provide a wifi hotspot for community events. This project is unique in many aspects due to the tactile nature of the device. Having an art/technology installation that requires physical interaction is rare and commonly overlooked. Often technology seems removed from us, an after thought. Being required to physically interact with this device brings another dimension to understanding. This understanding is essential to learning new and complex ideas. ","The portability of G.R.O.U.N.D. means that it can provide an economic benefit wherever it goes. It can be used for performances, classes and community events which in turn stimulates a micro-economy for that neighborhood. I envision G.R.O.U.N.D. as a catalyst for pop up events, festivals and social gatherings drawing in food trucks, craft booths, vendors and more. Furthermore this portable flooring system allows performing arts groups to utilize unusual spaces for shows or classes without having to worry about theater or studio rental fees. Instead they can focus their limited resources on paying their artists.","The creation of G.R.O.U.N.D is just a start. Being an open use modular device it is designed to be expanded and innovated upon. Workshops and training classes can be created for the community, giving opportunities for anyone, especially our youth and underserved, to learn and build in a fun and exciting way. Additionally, G.R.O.U.N.D. provides performing arts groups a portable flooring system to be able to take their performances anywhere and make their art accessible to any community."

the-candlelight-project,329,Marcus Crowder,Grant ($25k),Nonprofit,Candlelight Project,The Candlelight Project,"Performing Arts/Music, Temporary Activations, Marketing/Communications, Cultural Equity, Underserved Communities, Pop-ups, Youth/Education","$24,200.00 ","$24,200.00 ",A play about a diverse group of people connected to a contemporary event performed in a community which rarely has theater created for them.,"We will create a play about a diverse group of people who are unknown to each other coming together around a contemporary event - A Candlelight Vigil for Peace. The audience will not know what the inciting event was but it will be understood as a contemporary phenomenon which brings people together often first through social media. The play will be both funny and serious, also quite modern in its presentation. The audience will see text messages and emails presented as super titles and video projections will be a significant element in the production design. The characters are a broad multi-racial, multi-generational cross section: a young pregnant woman who has the idea for the Candlelight Vigil and her skeptical but supportive husband; two journalists assigned to cover the event - one very excited about it, the other very hesitant; two members of the police force who will be there for security - also with mixed emotions and expectations; an older veteran of the Civil Rights Movement and a young political neophyte. We will use an adaptation of the acclaimed Cornerstone Theater process of creating community engaged theater. The playwrights will become aware of the community through research, visits, interviews, story circles, and other activities. The play will be written based on what is learned and what is artistically relevant and inspiring. A draft of the script will be read with members of the community we've encountered along the way with feedback and discussion. The company will then convene with student participants as the production is put together. We seek to involve community members in every aspect of the production, perhaps acting in the play, working in production and backstage, and of course as members of the audience.
We feel The Panell Community Center in Councilman Larry Carr's District 8 would  an appropriate location for this project as it would allow us to bring live theater to a community with doesn't have it and in a form which allows them to see themselves reflected on stage. All performances will be free or pay what you can. We have commitments from acclaimed community partners to assist in various elements of outreach, production and marketing. Those partners include Unseen Heroes, Capital Stage, and B Street Theater. An essential aspect of the project will be sharing our outreach experiences with our professional theater partners to help them diversify their own audiences.",10/2/17,,We will be able to assess the success of project through the number of attendees we have at performances but also through feedback from the community from through out the entire process.  Built into the project is a goal of continually growing awareness of it in the community as we develop the content. Longer range success will come from the sharing of resources developed by and through the project which allow the established professional theater company supporters  to grow and diversify their audiences.,The project's economic impact will be multi-leveled. We will bring substantial infrastructure into the community and use numerous goods and services there. Arts groups who are our partners will also benefit from the ability to extend and expand their audiences through use of our outreach experience and community engagement which they will have access to. ,"We will recruit youth from the district to be observer/participants in the ongoing development, production, and marketing process. The project will bring live theater making and performance to a district that does have those resources or opportunities. We address cultural equity by allowing the community to become creative partners in the project through their continued engagement and participation in the process.   "

live-cinema-liquid-lightshow-performance-art,336,George William Holden,Microgrant ($5k),Individual/Sole Proprietor,George William Holden,"Live-Cinema, Liquid Lightshow Performance Art","Public Art/Installations, Youth/Education","$4,995.00 ","$4,995.00 ","A free live cinema light show performance @ 34th-Broadway finale for  Oak Park Roots & Branches Walkabout: live blues, spoken word, jazz.","A free multi-media live cinema-liquid-light show performance celebrating American roots music and Oak Parks history finale in collaboration with MIndy Giles Oak Park Roots & Branches Walkabout: live blues, spoken word, gospel & jazz experience.  As dusk departs, all will gather at The Grounded open corner lot on 34th & Broadway for an evening concert of multimedia live-cinema, music, art, food and tech experience.

The Live Cinema and liquid light show colors are vibrant and similar to the Miami, FL Wynwood Mural Walls project that drew so much attention through creativity and innovation. Historic Oak Park photos and rare footage will also be integrated into the performance.

Visualize an authentic animated multi-media mural concept projected onto a large building at night via hand-made live cinema and psychedelic liquid light show performance art.  The Live hand-made cinema art is created in an analog mixed media, hand-painted glass slides, film, liquid projection then transferred digitally through several 4-channel video mixers,  live HD video cameras via 1080 HD digital 4.5K projectors. The live cinema Event utilizes the latest digital technology integrating live performers and audience into a moving painting used most notably with the CALIDANZA Dance Company at the Crocker Art Museum and Crest Theater 2016-2017. (see work samples)

An interactive tech component will be available for participants (all ages) to experiment with the physics of light and sound using LED handheld reflective devices creating animated lumia effects onto a screen synced to music. See -Lumia: Thomas Wilfred and the Art of Light - Yale University Art Gallery
artgallery.yale.edu/exhibitions/exhibition/lumia-thomas-wilfred-and-art-light
In support of surrounding local businesses, 30, 60 and 90 sec video shorts showcasing the value and services of  each business participating will be produced and shown to the public in between sets.

Local retail will have an opportunity to maintain later business hours that night for participants. (This project is a stacked collaboration w/ OP's Mindy Giles Oak Park Roots & Branches Walkabout: application.)

",10/1/17,9/30/17,"1.Attendance: Volunteer docents w/ counters @ each location.
2.Passports/Survey: Real count of passports handed out. An online survey  app for download. A pop-up @ finale for tiered incentives (free/discount coupons for area businesses, artist CDs) for each participant w/ completed survey.
3.Community & Money Follows Art: 30+ day exhibition time frame gives venues more live music possibilities. Businesses/groups utilizing public space can add events in FB calendar. By activating the past with this project, we create/re-activate a communal experience, thus a template for other neighborhoods. Business owners can see young docents interact w/ public. Potential employment!
","This immersive walking tour event is free to the public, and so it's very nature encourages neighborhood exploration/purchasing at area shops, restaurants, bars/cafes, theatres, bookstores, galleries and coffee shops. We get to know the small business owners on a first name basis. We become invested! This is not a faceless corporate chain. It's US! The vibrant hub of the neighborhood becomes apparent. Word of mouth spreads.The correlation between this project's live music, art and neighborhood history and economic growth can be seen when we make it a regular part of daily life and own our sense of place.

","1.Attendance: Volunteer docents w/ counters @ each location.
2.Passports/Survey: Real count of passports handed out. An online survey  app for download. A pop-up @ finale for tiered incentives (free/discount coupons for area businesses, artist CDs) for each participant w/ completed survey.
3.Community & Money Follows Art: 30+ day exhibition time frame gives venues more live music possibilities. Businesses/groups utilizing public space can add events in FB calendar. By activating the past with this project, we create/re-activate a communal experience, thus a template for other neighborhoods. Business owners can see young docents interact w/ public. Potential employment!

"

youthartcode-tech-is-art,337,Azizi,Microgrant ($5k),Individual/Sole Proprietor,,YouthArtCode: Tech is Art,"Youth/Education, Urban Tech, Temporary Activations, Underserved Communities, Public Art/Installations","$5,000.00 ","$8,942.05 ","In 6 days, youth ages 10-14 learn coding and electronics fundamentals  to create a collaborative digital art piece for gallery display ","This project is primarily aimed at youth in grades 5-8 and is an expansion of a successful coding and electronics camp that I co-funded  and taught through SCUSD Summer of Service 2016 at Rosa Parks school. Up to twenty middle-schoolers will attend a 6 day afternoon/evening camp. Using age appropriate materials they will learn how to create a collaborative digital art piece.  Four days of the workshop will consist of small lesson projects to introduce students to JavaScript, Arduino, LEDs and resistors in a highly interactive and hands-on learning environment. The last two days will utilize their new skills to program an LED light strip and coordinate their individually programmed LED light strips into a collaborative art piece.  The piece will be installed for a ""gallery"" display and culminating evening reception at the Pannell Center.

Urban Tech.
The process of writing  and using code to control electronic elements is a fundamental basis of understanding the interaction between human designers and electronic devices.
The culminating digital art piece will be interactive.  In the darkened area of the exhibition space, the LED lights casts varying shadows depending upon the objects present.  The real-time addition and/or subtraction of inanimate objects and humans amidst the exhibit create an artistically correlative experience with technology.


Youth are the artists and makers. This project empowers and educates youth to develop real-word coding, electronics and problem solving skills applicable to collaborate to create the digital art piece. These skills are taught in a self-learning mode, which encourages them to learn by trial and error and think logically and creatively in order to problem solve.
One high school student will gain valuable work experience as a teacher's assistant, and be empowered and trained to possibly conduct his/her own workshop using the same curriculum and materials. There is potential for perpetuating this model beyond the confines of one project or teacher.
This project will groom a future leader by training and employing one middle school student alumni.
Pannell Center room(s) and adjoining courtyard will be transformed into a gallery and reception space. The participants, families and community will be invited to the free reception where they can interact with the art piece and receive student demonstrations. At the reception students will have the opportunity give demonstrations. The Pannell ""gallery"" reception will also include live performance and visual art, as discussed our collaborator's grant proposal(Word,Music is Art).


